difficulty,q_no_in_difficulty,format,stem,options_json,correct_answer_json,explanation,source_type,source_ref,tags_json,qa_status,is_active
expert,9,mcq,A business needs a high-capacity fixed link from LAN to internet. Which option is most suitable?,"{""choices"":[""Wi-Fi"",""Bluetooth"",""Fibre-optic"",""5G""]}","{""choice"":""Fibre-optic""}",Fibre-optic is commonly used for high-capacity fixed connectivity.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""scenario_fibre"",""expert_scenario""]",published,true
expert,10,mcq,A school must connect its internal network to the internet. Which device option is required?,"{""choices"":[""Router"",""Switch"",""NIC"",""Terminator""]}","{""choice"":""Router""}",A router connects networks and forwards packets between them.,new_original,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""scenario_router"",""expert_scenario""]",published,true
expert,11,mcq,"In a wired LAN, each workstation needs to connect to a central LAN device. Which option is correct?","{""choices"":[""File server"",""Router"",""Backbone"",""Switch""]}","{""choice"":""Switch""}","On a wired network, each device connects to a switch using Ethernet cables.",new_original,U1 DT 2023 Q6(b) + MS; Network_Technologies_Notes.docx,"[""scenario_switch"",""expert_scenario""]",published,true
expert,12,mcq,A computer cannot join the network until one hardware component is present. Which option is it?,"{""choices"":[""NIC"",""WAN"",""Router"",""Terminator""]}","{""choice"":""NIC""}",A NIC is needed for a device to connect and communicate on a network.,new_original,U1 DT 2023 Q7(e) + MS; Network_Technologies_Notes.docx,"[""scenario_nic"",""expert_scenario""]",published,true
expert,13,mcq,A school wants central storage so all staff can access shared files. Which option is best?,"{""choices"":[""Router"",""NIC"",""Switch"",""File server""]}","{""choice"":""File server""}",A file server stores shared files for network users.,new_original,U1 DT 2021 Q6(1) + MS; Network_Technologies_Notes.docx,"[""scenario_file_server"",""expert_scenario""]",published,true
expert,14,mcq,"In a bus topology, the main cable breaks. Which option best describes what happens next?","{""choices"":[""Network becomes a ring automatically"",""Performance improves"",""Only one workstation is affected"",""Communication across the bus network fails""]}","{""choice"":""Communication across the bus network fails""}","If the backbone cable fails, communication on a bus network can fail.",new_original,U1 DT 2023 Q7(b)(ii) + MS; Network_Technologies_Notes.docx,"[""scenario_bus_failure"",""expert_scenario""]",published,true
expert,15,mcq,A teacher labels both ends of a bus cable. Which option explains the role of these end components?,"{""choices"":[""They store shared files"",""They route internet traffic"",""They stop signal bounce/return on the cable"",""They increase wireless range""]}","{""choice"":""They stop signal bounce/return on the cable""}",Terminators absorb the signal and reduce bounce/collision issues.,new_original,U1 DT 2023 Q7(b)(iii) + MS; Network_Technologies_Notes.docx,"[""scenario_terminator"",""expert_scenario""]",published,true
expert,16,mcq,One workstation in a star network fails. Which option is most accurate?,"{""choices"":[""Other workstations can usually continue"",""Whole network always stops"",""Network turns into bus topology"",""Backbone cable fails""]}","{""choice"":""Other workstations can usually continue""}","In star topology, single workstation failures are often isolated.",new_original,"U1 DT 2024 Q6(a), 2019 Q6(d)(ii) + MS; Network_Technologies_Notes.docx","[""scenario_star_advantage"",""expert_scenario""]",published,true
expert,17,mcq,The central switch/server in a star topology fails. Which option is most accurate?,"{""choices"":[""It improves security"",""The network can fail because the central point is critical"",""No effect on communication"",""Only one workstation fails""]}","{""choice"":""The network can fail because the central point is critical""}",A star network depends on the central device.,new_original,"U1 DT 2019 Q6(d)(iii), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""scenario_star_disadvantage"",""expert_scenario""]",published,true
expert,18,mcq,A node or cable fails in a ring network. Which option best matches this risk?,"{""choices"":[""The ring can be disrupted"",""No disruption because there is a central controller"",""Terminators absorb the issue"",""Only one device is affected for sure""]}","{""choice"":""The ring can be disrupted""}",Ring communication can be disrupted by a single node/cable failure.,new_original,U1 DT 2022 Q7(a)(ii) + MS; Network_Technologies_Notes.docx,"[""scenario_ring_disadvantage"",""expert_scenario""]",published,true
expert,19,mcq,Which option correctly distinguishes internet and World Wide Web?,"{""choices"":[""WWW is the physical cable network"",""Internet is the network; WWW is an application/service running on it"",""Both terms mean the same thing"",""Internet is only email""]}","{""choice"":""Internet is the network; WWW is an application/service running on it""}",CCEA expects internet infrastructure and WWW service to be distinguished.,new_original,U1 DT 2025 Q8(c) + MS; Network_Technologies_Notes.docx,"[""scenario_internet_www_compare"",""expert_scenario""]",published,true
expert,20,mcq,A student is labelling a bus topology diagram. Which option lists essential labels?,"{""choices"":[""Switch and ring token"",""Nodes/workstations, backbone cable, terminators at both ends"",""One workstation only"",""Router and cloud only""]}","{""choice"":""Nodes/workstations, backbone cable, terminators at both ends""}","Bus diagram marking points include nodes, backbone, and two terminators.",new_original,U1 DT 2023 Q7(c) + MS; Network_Technologies_Notes.docx,"[""scenario_bus_labels"",""expert_scenario""]",published,true
expert,21,mcq,Which option about fibre-optic transmission is correct?,"{""choices"":[""It transmits data as electrical signals only"",""It cannot carry network data"",""It transmits data using light"",""It is a wireless medium""]}","{""choice"":""It transmits data using light""}",Fibre-optic data is carried as pulses of light.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""scenario_fibre_signals"",""expert_scenario""]",published,true
expert,22,mcq,A company needs a high-bandwidth medium. Which option is most suitable from this topic?,"{""choices"":[""Bus topology"",""Intranet"",""Fibre-optic"",""Bluetooth""]}","{""choice"":""Fibre-optic""}",Fibre-optic cable has high bandwidth.,new_original,"U1 DT 2022 Q8(d), 2023 Q6(a) + MS; Network_Technologies_Notes.docx","[""scenario_fibre_bandwidth"",""expert_scenario""]",published,true
expert,23,mcq,Which option best describes interception risk on fibre compared with copper?,"{""choices"":[""Both are always equally easy to intercept"",""Fibre is generally harder to intercept"",""Fibre is easier to intercept"",""Interception depends only on topology name""]}","{""choice"":""Fibre is generally harder to intercept""}",CCEA mark schemes accept that fibre is generally harder to intercept than copper.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""scenario_fibre_intercept"",""expert_scenario""]",published,true
expert,24,mcq,A school asks why computers should be networked. Which option gives a valid advantage?,"{""choices"":[""Guarantee no failures"",""Eliminate all maintenance"",""Share files/hardware and communicate"",""Remove need for updates""]}","{""choice"":""Share files/hardware and communicate""}",Networking advantages include sharing resources and communication.,new_original,"U1 DT 2019 Q6(a)(ii), 2025 Q8(d) + MS; Network_Technologies_Notes.docx","[""scenario_network_advantage"",""expert_scenario""]",published,true
expert,25,mcq,A diagram shows all nodes connected to one backbone cable with terminators at both ends. Which option is correct?,"{""choices"":[""Ring topology"",""Star topology"",""WAN"",""Bus topology""]}","{""choice"":""Bus topology""}",This is the defining structure of a bus topology.,new_original,U1 DT 2023 Q7(b)(i)(c) + MS; Network_Technologies_Notes.docx,"[""scenario_topology_name"",""expert_scenario""]",published,true
expert,26,diagram_label,"In this star-network diagram, which option best identifies number 1?","{""diagram_key"":""star_topology"",""marker"":""1"",""choices"":[""Terminator"",""Workstation"",""Backbone cable"",""Router""]}","{""choice"":""Workstation"",""accepted"":[""Workstation"",""workstation""]}",Marker 1 marks an end-user workstation in the star diagram.,new_original,U1 DT 2019 Q6(d)(i) + MS; Network_Technologies_Notes.docx,"[""diagram_star_ws"",""diagram_star_topology"",""diagram_label""]",published,true
expert,27,diagram_label,"In this star-network diagram, which option best identifies number 2?","{""diagram_key"":""star_topology"",""marker"":""2"",""choices"":[""Router"",""Switch/Server"",""Terminator"",""Intranet""]}","{""choice"":""Switch/Server"",""accepted"":[""Switch/Server"",""switch/server""]}",Marker 2 is the central switch/server in a star topology.,new_original,"U1 DT 2019 Q6(d)(i), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""diagram_star_central"",""diagram_star_topology"",""diagram_label""]",published,true
expert,28,diagram_label,"In this star-network diagram, which option best identifies number 3?","{""diagram_key"":""star_topology"",""marker"":""3"",""choices"":[""Printer"",""Router"",""Backbone cable"",""NIC""]}","{""choice"":""Printer"",""accepted"":[""Printer"",""printer""]}",Marker 3 points to a shared network printer.,new_original,U1 DT 2019 Q6(d)(i) + MS; Network_Technologies_Notes.docx,"[""diagram_star_printer"",""diagram_star_topology"",""diagram_label""]",published,true
expert,29,diagram_label,"In this star-network diagram, which option best identifies number 4?","{""diagram_key"":""star_topology"",""marker"":""4"",""choices"":[""WAN"",""Terminator"",""Cable"",""WWW""]}","{""choice"":""Cable"",""accepted"":[""Cable"",""cable""]}",Marker 4 indicates the physical cable link in the star.,new_original,U1 DT 2019 Q6(d)(i) + MS; Network_Technologies_Notes.docx,"[""diagram_star_cable"",""diagram_star_topology"",""diagram_label""]",published,true
expert,30,diagram_label,"In this bus-network diagram, which option best identifies number 1?","{""diagram_key"":""bus_topology"",""marker"":""1"",""choices"":[""Router"",""NIC"",""Terminator"",""Switch""]}","{""choice"":""Terminator"",""accepted"":[""Terminator"",""terminator""]}",Marker 1 labels the end component that absorbs signals on a bus cable.,new_original,U1 DT 2023 Q7(b)(iii) + MS; Network_Technologies_Notes.docx,"[""diagram_bus_terminator"",""diagram_bus_topology"",""diagram_label""]",published,true
expert,31,diagram_label,"In this bus-network diagram, which option best identifies number 2?","{""diagram_key"":""bus_topology"",""marker"":""2"",""choices"":[""Ring cable"",""Switch"",""5G link"",""Backbone cable""]}","{""choice"":""Backbone cable"",""accepted"":[""Backbone cable"",""backbone cable""]}",Marker 2 is the main shared cable in bus topology.,new_original,U1 DT 2023 Q7(b)(c) + MS; Network_Technologies_Notes.docx,"[""diagram_bus_backbone"",""diagram_bus_topology"",""diagram_label""]",published,true
expert,32,diagram_label,"In this bus-network diagram, which option best identifies number 3?","{""diagram_key"":""bus_topology"",""marker"":""3"",""choices"":[""Node/Workstation"",""Backbone cable"",""Terminator"",""Router""]}","{""choice"":""Node/Workstation"",""accepted"":[""Node/Workstation"",""node/workstation""]}",Marker 3 points to a connected node/workstation.,new_original,U1 DT 2023 Q7(c) + MS; Network_Technologies_Notes.docx,"[""diagram_bus_node"",""diagram_bus_topology"",""diagram_label""]",published,true
expert,33,diagram_label,"In this ring-network diagram, which option best identifies number 1?","{""diagram_key"":""ring_topology"",""marker"":""1"",""choices"":[""Backbone cable"",""File server"",""Node/Workstation"",""Terminator""]}","{""choice"":""Node/Workstation"",""accepted"":[""Node/Workstation"",""node/workstation""]}",Marker 1 identifies a workstation/node in the ring.,new_original,U1 DT 2022 Q7(a) + MS; Network_Technologies_Notes.docx,"[""diagram_ring_node"",""diagram_ring_topology"",""diagram_label""]",published,true
expert,34,diagram_label,"In this ring-network diagram, which option best identifies number 2?","{""diagram_key"":""ring_topology"",""marker"":""2"",""choices"":[""Ring data path/cable"",""Switch"",""Router"",""NIC""]}","{""choice"":""Ring data path/cable"",""accepted"":[""Ring data path/cable"",""ring data path/cable""]}",Marker 2 marks the loop path used for ring communication.,new_original,"U1 DT 2022 Q7(a), 2023 Q7(c) + MS; Network_Technologies_Notes.docx","[""diagram_ring_path"",""diagram_ring_topology"",""diagram_label""]",published,true
expert,35,diagram_label,"In this ring-network diagram, which option best identifies number 3?","{""diagram_key"":""ring_topology"",""marker"":""3"",""choices"":[""Central switch control"",""Wireless broadcast only"",""Data passes node to node"",""Backbone terminator""]}","{""choice"":""Data passes node to node"",""accepted"":[""Data passes node to node"",""data passes node to node""]}",Ring communication passes data between nodes around the loop.,new_original,"U1 DT 2022 Q7(a), 2023 Q7(c) + MS; Network_Technologies_Notes.docx","[""diagram_ring_flow"",""diagram_ring_topology"",""diagram_label""]",published,true
expert,36,diagram_label,"In this LAN-to-internet path diagram, which option best identifies number 1?","{""diagram_key"":""lan_internet_path"",""marker"":""1"",""choices"":[""Workstation/NIC"",""Internet"",""Terminator"",""Router""]}","{""choice"":""Workstation/NIC"",""accepted"":[""Workstation/NIC"",""workstation/nic""]}",Marker 1 marks the source device and network interface.,new_original,"U1 DT 2021 Q6, 2023 Q7(e) + MS; Network_Technologies_Notes.docx","[""diagram_path_nic"",""diagram_lan_internet_path"",""diagram_label""]",published,true
expert,37,diagram_label,"In this LAN-to-internet path diagram, which option best identifies number 2?","{""diagram_key"":""lan_internet_path"",""marker"":""2"",""choices"":[""Backbone cable"",""Router"",""Switch"",""Intranet""]}","{""choice"":""Switch"",""accepted"":[""Switch"",""switch""]}",Marker 2 labels the switch handling LAN traffic.,new_original,"U1 DT 2021 Q6(1), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""diagram_path_switch"",""diagram_lan_internet_path"",""diagram_label""]",published,true
expert,38,diagram_label,"In this LAN-to-internet path diagram, which option best identifies number 3?","{""diagram_key"":""lan_internet_path"",""marker"":""3"",""choices"":[""Router"",""NIC"",""Switch"",""Terminator""]}","{""choice"":""Router"",""accepted"":[""Router"",""router""]}",Marker 3 labels the router connecting LAN to internet.,new_original,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""diagram_path_router"",""diagram_lan_internet_path"",""diagram_label""]",published,true
expert,39,diagram_label,"In this LAN-to-internet path diagram, which option best identifies number 4?","{""diagram_key"":""lan_internet_path"",""marker"":""4"",""choices"":[""Intranet"",""Bus backbone"",""Internet/Web server"",""Bluetooth""]}","{""choice"":""Internet/Web server"",""accepted"":[""Internet/Web server"",""internet/web server""]}",Marker 4 is the external internet service destination.,new_original,"U1 DT 2025 Q8(b)(c), 2021 Q6 + MS; Network_Technologies_Notes.docx","[""diagram_path_internet"",""diagram_lan_internet_path"",""diagram_label""]",published,true
expert,40,diagram_label,"In this communication-media diagram, which option best identifies number 1?","{""diagram_key"":""media_links"",""marker"":""1"",""choices"":[""Wi-Fi link"",""5G link"",""Fibre-optic link"",""Bluetooth link""]}","{""choice"":""Bluetooth link"",""accepted"":[""Bluetooth link"",""bluetooth link""]}",Marker 1 is the phone-to-headphones short-range connection.,new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""diagram_media_bluetooth"",""diagram_media_links"",""diagram_label""]",published,true
expert,41,diagram_label,"In this communication-media diagram, which option best identifies number 2?","{""diagram_key"":""media_links"",""marker"":""2"",""choices"":[""Wi-Fi link"",""5G link"",""Backbone cable"",""Bluetooth link""]}","{""choice"":""Wi-Fi link"",""accepted"":[""Wi-Fi link"",""wi-fi link""]}",Marker 2 shows home smart-TV local wireless access.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""diagram_media_wifi"",""diagram_media_links"",""diagram_label""]",published,true
expert,42,diagram_label,"In this communication-media diagram, which option best identifies number 3?","{""diagram_key"":""media_links"",""marker"":""3"",""choices"":[""Bluetooth link"",""Terminator"",""5G link"",""Wi-Fi link""]}","{""choice"":""5G link"",""accepted"":[""5G link"",""5g link""]}",Marker 3 indicates travelling mobile cloud access.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""diagram_media_5g"",""diagram_media_links"",""diagram_label""]",published,true
expert,43,diagram_label,"In this communication-media diagram, which option best identifies number 4?","{""diagram_key"":""media_links"",""marker"":""4"",""choices"":[""5G link"",""Bluetooth link"",""Fibre-optic link"",""Wi-Fi link""]}","{""choice"":""Fibre-optic link"",""accepted"":[""Fibre-optic link"",""fibre-optic link""]}",Marker 4 marks business LAN fixed high-capacity internet link.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""diagram_media_fibre"",""diagram_media_links"",""diagram_label""]",published,true
expert,44,diagram_label,"In this fibre-properties diagram, which option best identifies number 1?","{""diagram_key"":""fibre_properties"",""marker"":""1"",""choices"":[""No signal transmission"",""Data carried as light"",""Wireless radio broadcast"",""Data carried as electricity""]}","{""choice"":""Data carried as light"",""accepted"":[""Data carried as light"",""data carried as light""]}",Fibre-optic transmits data using pulses of light.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""diagram_fibre_light"",""diagram_fibre_properties"",""diagram_label""]",published,true
expert,45,diagram_label,"In this fibre-properties diagram, which option best identifies number 2?","{""diagram_key"":""fibre_properties"",""marker"":""2"",""choices"":[""Low bandwidth"",""No network capacity"",""Topology name"",""High bandwidth""]}","{""choice"":""High bandwidth"",""accepted"":[""High bandwidth"",""high bandwidth""]}",A key fibre property is high bandwidth.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""diagram_fibre_bandwidth"",""diagram_fibre_properties"",""diagram_label""]",published,true
expert,46,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""One workstation fails, others still run"",""right"":""Star advantage""},{""left"":""All communication stops after one main cable break"",""right"":""Bus disadvantage""},{""left"":""No central controller, node fault disrupts traffic"",""right"":""Ring disadvantage""},{""left"":""Central device failure causes full outage"",""right"":""Star disadvantage""}],""choices"":[""Star advantage"",""Bus disadvantage"",""Ring disadvantage"",""Star disadvantage"",""WAN advantage""]}","{""pairs"":{""One workstation fails, others still run"":""Star advantage"",""All communication stops after one main cable break"":""Bus disadvantage"",""No central controller, node fault disrupts traffic"":""Ring disadvantage"",""Central device failure causes full outage"":""Star disadvantage""}}",These are standard topology reasoning points from CCEA mark schemes.,new_original,"U1 DT 2019 Q6, 2022 Q7(a), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""expert_match_failure_reasoning""]",published,true
expert,47,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Main cable in a bus diagram"",""right"":""Backbone""},{""left"":""Label at each bus cable end"",""right"":""Terminator""},{""left"":""Central device in star diagram"",""right"":""Switch/Server""},{""left"":""Network card in a workstation"",""right"":""NIC""}],""choices"":[""WAN"",""NIC"",""Switch/Server"",""Terminator"",""Backbone""]}","{""pairs"":{""Main cable in a bus diagram"":""Backbone"",""Label at each bus cable end"":""Terminator"",""Central device in star diagram"":""Switch/Server"",""Network card in a workstation"":""NIC""}}",Correct diagram labels depend on topology structure and device function.,new_original,"U1 DT 2019 Q6(d), 2023 Q7(c), 2025 Q13 + MS; Network_Technologies_Notes.docx","[""expert_match_diagram_roles""]",published,true
expert,48,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Carries data as light"",""right"":""Fibre-optic""},{""left"":""Supports high bandwidth"",""right"":""Fibre-optic""},{""left"":""Lower interference risk"",""right"":""Fibre-optic""},{""left"":""Harder to intercept than copper"",""right"":""Fibre-optic""}],""choices"":[""Fibre-optic"",""Bluetooth"",""Wi-Fi"",""5G""]}","{""pairs"":{""Carries data as light"":""Fibre-optic"",""Supports high bandwidth"":""Fibre-optic"",""Lower interference risk"":""Fibre-optic"",""Harder to intercept than copper"":""Fibre-optic""}}",All four statements are fibre-optic properties from the CCEA true/false style content.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""expert_match_inference""]",published,true
expert,49,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Staff-only internal website"",""right"":""Intranet""},{""left"":""Global public infrastructure"",""right"":""Internet""},{""left"":""Linked pages viewed in browser"",""right"":""WWW""},{""left"":""Physical connected devices"",""right"":""IoT""}],""choices"":[""LAN"",""IoT"",""WWW"",""Internet"",""Intranet""]}","{""pairs"":{""Staff-only internal website"":""Intranet"",""Global public infrastructure"":""Internet"",""Linked pages viewed in browser"":""WWW"",""Physical connected devices"":""IoT""}}","These terms are often confused, so expert level requires precise distinction.",new_original,"U1 DT 2019 Q6(a)(iii), 2025 Q8(a)(b)(c) + MS; Network_Technologies_Notes.docx","[""expert_match_task_selection""]",published,true
expert,50,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connect mobile phone to wireless headphones"",""right"":""Bluetooth""},{""left"":""Connect smart TV to home network"",""right"":""Wi-Fi""},{""left"":""Access company files while travelling"",""right"":""5G""},{""left"":""Connect business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Bluetooth"",""Wi-Fi"",""5G"",""Fibre-optic"",""Terminator""]}","{""pairs"":{""Connect mobile phone to wireless headphones"":""Bluetooth"",""Connect smart TV to home network"":""Wi-Fi"",""Access company files while travelling"":""5G"",""Connect business LAN to internet"":""Fibre-optic""}}","Expert level still uses objective mapping, but with realistic mixed scenarios.",new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""expert_match_network_design""]",published,true
expert,51,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""One workstation fails, others still run"",""right"":""Star advantage""},{""left"":""All communication stops after one main cable break"",""right"":""Bus disadvantage""},{""left"":""No central controller, node fault disrupts traffic"",""right"":""Ring disadvantage""},{""left"":""Central device failure causes full outage"",""right"":""Star disadvantage""}],""choices"":[""WAN advantage"",""Star disadvantage"",""Ring disadvantage"",""Bus disadvantage"",""Star advantage""]}","{""pairs"":{""One workstation fails, others still run"":""Star advantage"",""All communication stops after one main cable break"":""Bus disadvantage"",""No central controller, node fault disrupts traffic"":""Ring disadvantage"",""Central device failure causes full outage"":""Star disadvantage""}}",These are standard topology reasoning points from CCEA mark schemes.,new_original,"U1 DT 2019 Q6, 2022 Q7(a), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""expert_match_failure_reasoning""]",published,true
expert,52,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Main cable in a bus diagram"",""right"":""Backbone""},{""left"":""Label at each bus cable end"",""right"":""Terminator""},{""left"":""Central device in star diagram"",""right"":""Switch/Server""},{""left"":""Network card in a workstation"",""right"":""NIC""}],""choices"":[""Backbone"",""Terminator"",""Switch/Server"",""NIC"",""WAN""]}","{""pairs"":{""Main cable in a bus diagram"":""Backbone"",""Label at each bus cable end"":""Terminator"",""Central device in star diagram"":""Switch/Server"",""Network card in a workstation"":""NIC""}}",Correct diagram labels depend on topology structure and device function.,new_original,"U1 DT 2019 Q6(d), 2023 Q7(c), 2025 Q13 + MS; Network_Technologies_Notes.docx","[""expert_match_diagram_roles""]",published,true
expert,53,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Carries data as light"",""right"":""Fibre-optic""},{""left"":""Supports high bandwidth"",""right"":""Fibre-optic""},{""left"":""Lower interference risk"",""right"":""Fibre-optic""},{""left"":""Harder to intercept than copper"",""right"":""Fibre-optic""}],""choices"":[""5G"",""Wi-Fi"",""Bluetooth"",""Fibre-optic""]}","{""pairs"":{""Carries data as light"":""Fibre-optic"",""Supports high bandwidth"":""Fibre-optic"",""Lower interference risk"":""Fibre-optic"",""Harder to intercept than copper"":""Fibre-optic""}}",All four statements are fibre-optic properties from the CCEA true/false style content.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""expert_match_inference""]",published,true
expert,54,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Staff-only internal website"",""right"":""Intranet""},{""left"":""Global public infrastructure"",""right"":""Internet""},{""left"":""Linked pages viewed in browser"",""right"":""WWW""},{""left"":""Physical connected devices"",""right"":""IoT""}],""choices"":[""Intranet"",""Internet"",""WWW"",""IoT"",""LAN""]}","{""pairs"":{""Staff-only internal website"":""Intranet"",""Global public infrastructure"":""Internet"",""Linked pages viewed in browser"":""WWW"",""Physical connected devices"":""IoT""}}","These terms are often confused, so expert level requires precise distinction.",new_original,"U1 DT 2019 Q6(a)(iii), 2025 Q8(a)(b)(c) + MS; Network_Technologies_Notes.docx","[""expert_match_task_selection""]",published,true
expert,55,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Connect mobile phone to wireless headphones"",""right"":""Bluetooth""},{""left"":""Connect smart TV to home network"",""right"":""Wi-Fi""},{""left"":""Access company files while travelling"",""right"":""5G""},{""left"":""Connect business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Terminator"",""Fibre-optic"",""5G"",""Wi-Fi"",""Bluetooth""]}","{""pairs"":{""Connect mobile phone to wireless headphones"":""Bluetooth"",""Connect smart TV to home network"":""Wi-Fi"",""Access company files while travelling"":""5G"",""Connect business LAN to internet"":""Fibre-optic""}}","Expert level still uses objective mapping, but with realistic mixed scenarios.",new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""expert_match_network_design""]",published,true
expert,56,drag_drop,Order the best troubleshooting sequence for a complete bus network outage.,"{""items"":[""Confirm all nodes lost communication"",""Check both terminators are fitted"",""Replace faulty segment/component"",""Inspect backbone cable continuity"",""Retest end-to-end communication""]}","{""order"":[""Confirm all nodes lost communication"",""Inspect backbone cable continuity"",""Check both terminators are fitted"",""Replace faulty segment/component"",""Retest end-to-end communication""]}",A bus-wide outage usually points first to backbone or terminator faults.,new_original,U1 DT 2023 Q7(b)(ii)(iii) + MS; Network_Technologies_Notes.docx,"[""expert_drag_bus_outage""]",published,true
expert,57,drag_drop,Order the decision process for connecting a new school building to the existing network.,"{""items"":[""Recognise distance exceeds one-building LAN scope"",""Test inter-building communication"",""Select WAN-style inter-site connection"",""Use router links between sites"",""Verify shared resources across sites""]}","{""order"":[""Recognise distance exceeds one-building LAN scope"",""Select WAN-style inter-site connection"",""Use router links between sites"",""Test inter-building communication"",""Verify shared resources across sites""]}",Inter-building expansion needs network-type and routing decisions before validation.,new_original,"U1 DT 2024 Q1(b)(c), 2021 Q6 + MS; Network_Technologies_Notes.docx","[""expert_drag_school_extension""]",published,true
expert,58,drag_drop,Order the matching logic for choosing communication media in mixed scenarios.,"{""items"":[""Identify short-range personal device task"",""Map home LAN device access to Wi-Fi"",""Map to 5G"",""Map to Bluetooth"",""Identify travelling cloud-access task""]}","{""order"":[""Identify short-range personal device task"",""Map to Bluetooth"",""Identify travelling cloud-access task"",""Map to 5G"",""Map home LAN device access to Wi-Fi""]}",Expert tasks require selecting media by scenario constraints rather than memorising terms.,new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""expert_drag_media_selection""]",published,true
expert,59,drag_drop,Order this reasoning process for selecting a robust topology for a school lab.,"{""items"":[""Test that one workstation fault does not stop others"",""Need fault isolation for single workstation failures"",""Connect all devices to central switch"",""Choose star topology structure"",""Document central-device failure risk""]}","{""order"":[""Need fault isolation for single workstation failures"",""Choose star topology structure"",""Connect all devices to central switch"",""Test that one workstation fault does not stop others"",""Document central-device failure risk""]}",Star gives isolation benefits but still has a central point dependency.,new_original,"U1 DT 2019 Q6(d), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""expert_drag_topology_choice""]",published,true
expert,60,drag_drop,Order the analysis of a ring network failure where traffic stops.,"{""items"":[""Restore loop continuity"",""Locate break/fault point in loop"",""Check each ring cable segment and node"",""Retest full ring data flow"",""Identify loss of node-to-node circulation""]}","{""order"":[""Identify loss of node-to-node circulation"",""Check each ring cable segment and node"",""Locate break/fault point in loop"",""Restore loop continuity"",""Retest full ring data flow""]}",Ring communication depends on a complete loop path through nodes.,new_original,"U1 DT 2022 Q7(a)(ii), 2023 Q7(c) + MS; Network_Technologies_Notes.docx","[""expert_drag_ring_fault""]",published,true
